Designator,Mid X,Mid Y,Rotation,Layer
D1,85.399994,-67.695685,90.0,bottom
D10,256.399994,-67.615685,90.0,bottom
D11,275.399994,-67.615685,90.0,bottom
D12,294.399994,-67.615685,90.0,bottom
D13,313.399994,-67.615685,90.0,bottom
D14,351.399994,-67.615685,90.0,bottom
D15,370.899994,-67.615685,90.0,bottom
D16,94.899994,-86.695685,90.0,bottom
D17,113.899994,-86.695685,90.0,bottom
D18,132.899994,-86.695685,90.0,bottom
D19,151.899994,-86.695685,90.0,bottom
D2,104.399994,-67.695685,90.0,bottom
D20,170.899994,-86.695685,90.0,bottom
D21,189.899994,-86.5,90.0,bottom
D22,209.399994,-86.695685,90.0,bottom
D23,228.399994,-86.695685,90.0,bottom
D24,247.399994,-86.615685,90.0,bottom
D25,265.899994,-86.5,90.0,bottom
D26,284.899994,-86.5,90.0,bottom
D27,304.399994,-86.615685,90.0,bottom
D28,323.399994,-86.615685,90.0,bottom
D29,351.399994,-96.615685,90.0,bottom
D3,123.399994,-67.695685,90.0,bottom
D30,370.899994,-86.5,90.0,bottom
D31,99.399994,-105.5,90.0,bottom
D32,118.819994,-105.695685,90.0,bottom
D33,137.399994,-105.695685,90.0,bottom
D34,156.899994,-105.695685,90.0,bottom
D35,175.899994,-105.695685,90.0,bottom
D36,194.899994,-105.695685,90.0,bottom
D37,213.399994,-105.5,90.0,bottom
D38,232.399994,-105.5,90.0,bottom
D39,251.399994,-105.5,90.0,bottom
D4,142.399994,-67.5,90.0,bottom
D40,270.399994,-105.5,90.0,bottom
D41,289.399994,-105.615685,90.0,bottom
D42,308.399994,-105.5,90.0,bottom
D43,327.399994,-105.5,90.0,bottom
D44,370.399994,-105.5,90.0,bottom
D45,89.899994,-124.5,90.0,bottom
D46,109.399994,-124.5,90.0,bottom
D47,128.399994,-124.5,90.0,bottom
D48,147.399994,-124.695685,90.0,bottom
D49,166.399994,-124.695685,90.0,bottom
D5,161.399994,-67.695685,90.0,bottom
D50,185.399994,-124.695685,90.0,bottom
D51,204.399994,-124.695685,90.0,bottom
D52,223.399994,-124.695685,90.0,bottom
D53,242.399994,-124.5,90.0,bottom
D54,261.399994,-124.5,90.0,bottom
D55,280.399994,-124.5,90.0,bottom
D56,299.399994,-124.5,90.0,bottom
D57,325.399994,-124.695685,90.0,bottom
